ComputerName,user_state,HardwareVendor,HardwareModel,device_os,Device Group
LOFT-W2285,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W0352,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W3578,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3548,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0589,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W0354,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W6546,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3417,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3290,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6236,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3431,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0450,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W3611,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3407,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2266,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W0776,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W0459,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0123-RIODEJANEIRO-4,,Dell Inc.,Vostro 5471,Windows,GRP-BR-Windows-Dell
LOFT-W2479,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3600,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3205,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3594,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6095,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3143,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2296,SUSPENDED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W6054,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2278,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3386,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3174,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3341,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6036,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3531,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3352,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3182,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0777,SUSPENDED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W3660,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3308,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3050,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3371,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3344,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3378,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3404,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3539,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
